"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C8,C11","4","4,7/3,3 nF","","","","","~"
"C3,C4,C9,C10","4","33/47nF","","","","","~"
"C5","1","100 nF","","","","","~"
"C5_MKT1,C5_MKT2,C8_MKT1,C8_MKT2","4","4,7 uF","","","","","~"
"C6","1","100nF","","","","","~"
"C7","1","220uF","","","","","~"
"J1,J2","2","AudioJack2_Ground","","","","","~"
"R1,R16,RV3,RV6","4","10K","","","","","~"
"R2,R17","2","33K","","","","","~"
"R3,R4,R15,R18","4","4,7K","","","","","~"
"R5,R19","2","560R","","","","","~"
"R6,R8,R20,R21","4","68K","","","","","~"
"R7,R11,R13,R22","4","100K","","","","","~"
"R9,R10","2","20K","","","","","~"
"R12,R14","2","560 R","","","","","~"
"RV1,RV2,RV4,RV5","4","50K","","","","","~"
"SW1,SW2","2","SW_Nidec_CAS-120A1","","","","Button_Switch_SMD:Nidec_Copal_CAS-120A","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1","1","OPA2134","","","","","http://www.ti.com/lit/ds/symlink/opa134.pdf"
