"Numer zamówienia";"Numer zamówienia Klienta";"Numer pozycji";"Symbol TME";"symbol klienta";"Ilość 
zamówiona";"Ilość dostarczona";"Ilość do dostarczenia";"Z magazynu";"Jednostka";"Cena netto";"Cena brutto";"Waluta";"Informacja"
"34053516";"";"1";"MC5-4N7";"";"10";"0";"10";"10";"SZT";"0,45000";"0,55310";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"3";"R82EC2330DQ50J";"";"10";"0";"10";"10";"SZT";"0,44100";"0,54170";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"4";"MC5-100N";"";"10";"0";"10";"10";"SZT";"0,44200";"0,54430";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"5";"TC-4.7/25";"";"5";"0";"5";"5";"SZT";"0,61400";"0,75650";"PLN";"5SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"6";"MFF04JJ0103A50";"";"10";"0";"10";"10";"SZT";"0,13300";"0,16343";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"7";"MFF04JJ0333A50";"";"10";"0";"10";"10";"SZT";"0,13300";"0,16343";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"8";"MF0W4JJ0472A50";"";"10";"0";"10";"10";"SZT";"0,15500";"0,19050";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"10";"CF1/4W-560R";"";"100";"0";"100";"100";"SZT";"0,02980";"0,03670";"PLN";"100SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"11";"MF0S4JJ0683A50";"";"10";"0";"10";"10";"SZT";"0,11400";"0,14032";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"12";"MF0S4JJ0104A50";"";"10";"0";"10";"10";"SZT";"0,11400";"0,14032";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"13";"MFF04JJ0223A50";"";"10";"0";"10";"10";"SZT";"0,13300";"0,16343";"PLN";"10SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"14";"R16148-1B-2-B50K";"";"4";"0";"4";"4";"SZT";"2,75250";"3,38620";"PLN";"4SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"15";"TSM202A1";"";"1";"0";"1";"1";"SZT";"3,69000";"4,54490";"PLN";"1SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"16";"OPA2134PA";"";"1";"0";"1";"1";"SZT";"24,81000";"30,52860";"PLN";"1SZT - W magazynie - towar wydawany na magazynie"
"34053516";"";"17";"R16148-1B-2-B10K";"";"2";"0";"2";"2";"SZT";"2,75000";"3,38620";"PLN";"2SZT - W magazynie - towar wydawany na magazynie"
